ID/ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
25,70.39,73.9,61.49,64.73,59.97,90.91,63.22,88.49,108.27,48.04,73.75,86.33,46.93,39.08,45.35,44.09,52.19,34.64,47.12,68.37,143.47,65.17,74.49,62.62,0.0,0.0,48.23,37.36,69.53,53.08,54.63,53.82,458.16,69.82,0.0,80.96,129.69,61.45,16.33,20.27,34.45,57.68,82.57,80.24,53.76,65.21,52.3,68.26,62.88,63.16,75.51,80.24,77.67,65.17
26,70.39,73.9,61.49,64.73,59.97,90.91,63.22,88.49,108.27,48.04,73.75,86.33,46.93,39.08,45.35,44.09,52.19,34.64,47.12,68.37,143.47,65.17,74.49,62.62,0.0,0.0,48.23,37.36,69.53,53.08,54.63,53.82,458.16,69.82,0.0,80.96,129.69,61.45,16.33,20.27,34.45,57.68,82.57,80.24,53.76,65.21,52.3,68.26,62.88,63.16,75.51,80.24,77.67,65.17
27,30.77,28.89,103.98,22.42,18.95,52.58,16.89,50.16,57.45,2.92,27.16,48.01,3.63,32.5,4.31,6.55,39.94,33.02,7.1,28.74,99.63,24.15,30.69,21.6,47.59,47.59,0.0,37.68,25.47,95.58,97.12,32.25,500.66,30.19,47.59,33.37,85.85,21.83,58.84,33.11,14.89,20.95,91.33,41.91,27.51,23.69,30.78,27.24,23.26,73.64,85.99,41.91,38.05,24.15
28,25.12,49.99,65.81,40.82,55.72,67.0,42.22,64.58,84.36,39.04,49.84,62.42,35.92,65.18,35.71,35.42,21.5,65.7,42.86,28.18,129.32,60.92,59.95,58.37,37.24,37.24,37.61,0.0,65.27,67.93,63.58,15.44,490.31,28.82,37.24,57.05,115.54,21.15,22.78,52.2,45.2,15.39,62.93,56.33,15.38,41.3,13.92,64.0,33.96,45.24,57.59,56.33,36.39,60.92
29,56.51,53.01,122.81,44.08,18.57,75.89,27.89,73.47,66.29,21.87,39.99,71.31,27.27,42.33,26.13,28.37,65.68,48.03,21.33,54.49,75.72,8.3,31.26,17.42,66.41,66.41,22.41,62.06,0.0,114.4,115.95,57.99,519.48,55.94,66.41,52.53,61.89,47.57,77.66,51.94,33.91,43.8,115.72,65.22,53.26,45.35,56.52,20.45,49.0,98.02,110.37,65.22,66.72,8.3
30,89.74,121.76,23.73,112.6,107.84,138.77,111.09,136.35,156.13,95.9,121.61,134.2,94.8,86.71,93.22,91.96,78.43,82.51,94.99,116.23,191.33,113.04,122.36,110.49,53.18,53.18,96.1,68.74,117.39,0.0,16.87,80.06,445.17,93.44,53.18,128.83,177.55,87.9,46.47,68.13,82.32,84.07,75.08,128.11,80.0,113.07,78.54,116.13,110.75,84.2,96.55,128.11,102.2,113.04
31,90.78,109.31,8.39,100.14,108.51,120.38,101.54,117.96,143.68,96.57,109.16,115.81,95.46,87.37,93.88,92.62,72.66,83.18,95.65,93.73,192.0,113.71,123.02,111.16,53.84,53.84,96.77,65.2,118.06,16.17,0.0,76.52,454.18,94.37,53.84,111.99,178.22,84.36,42.93,68.8,82.99,80.53,59.74,109.72,76.46,100.61,75.0,116.79,93.28,68.86,81.21,109.72,95.4,113.71
32,9.68,31.45,78.07,32.01,50.72,45.93,34.38,43.51,75.55,33.66,41.03,41.36,30.54,60.18,30.34,30.05,11.6,60.7,37.86,12.74,121.48,55.92,52.11,53.37,52.16,52.16,32.24,15.5,60.27,80.19,75.84,0.0,505.24,13.38,52.16,37.54,107.7,11.61,39.11,57.36,40.2,15.47,65.27,35.27,7.14,32.49,2.35,59.0,14.86,36.16,41.77,35.27,20.95,55.92
33,522.8,526.31,461.07,517.15,512.39,543.32,515.64,540.9,560.68,500.45,526.16,538.74,499.34,491.26,497.76,496.5,504.61,487.06,499.53,520.78,595.88,517.59,526.91,515.04,457.73,457.73,500.65,489.78,521.94,443.96,454.21,506.24,0.0,522.23,457.73,533.37,582.1,513.86,468.75,472.68,486.87,510.09,512.43,532.65,506.18,517.62,504.72,520.67,515.3,515.58,527.93,532.65,530.08,517.59
34,4.77,18.79,89.52,13.37,48.58,37.03,32.25,34.61,68.0,31.53,24.53,32.45,28.41,58.04,28.2,27.92,25.63,58.56,35.73,2.26,119.34,53.78,49.97,51.23,69.71,69.71,30.1,28.89,58.13,93.57,93.28,13.38,522.78,0.0,69.71,28.64,105.56,15.76,52.5,55.23,38.06,21.07,74.71,26.36,16.09,11.92,15.74,56.87,8.07,41.16,46.77,26.36,12.05,53.78
